"panel","level","task","nt","stim","idx","trial","Oz"
"A","trial","RL","SE","Post-Stim",3,11,1.28576176993147
"A","trial","RL","SE","Post-Stim",3,12,-3.14706279365088
"A","trial","RL","SE","Post-Stim",3,13,-2.95723690557805
"A","trial","RL","SE","Post-Stim",3,14,-9.20265141012716
"A","trial","RL","SE","Post-Stim",3,15,-4.1485618993339
"A","trial","RL","SE","Post-Stim",3,16,-1.29815615896112
"A","trial","RL","SE","Post-Stim",3,17,-1.23126688574445
"A","trial","RL","SE","Post-Stim",3,18,-5.67900897056765
"A","trial","RL","SE","Post-Stim",3,20,-0.41131335105147
"A","trial","RL","SE","Post-Stim",3,21,-8.86126539553666
"A","trial","RL","SE","Post-Stim",3,22,2.31033828819293
"A","trial","RL","SE","Post-Stim",3,23,-1.1949116279231
"A","trial","RL","SE","Post-Stim",3,24,-4.70518506722521
"A","trial","RL","SE","Post-Stim",3,25,-0.660725187829522
"A","trial","RL","SE","Post-Stim",3,26,-4.57378873473391
"A","trial","RL","SE","Post-Stim",3,27,-0.49284165784117
"A","trial","RL","SE","Post-Stim",3,28,-4.25126400553801
"A","trial","RL","SE","Post-Stim",3,29,-5.91502634897117
"A","trial","RL","SE","Post-Stim",3,30,-0.382601816710466
"A","trial","RL","SE","Post-Stim",3,31,-3.25586467039546
"A","trial","RL","SE","Post-Stim",3,32,-4.6403266467412
"A","trial","RL","SE","Post-Stim",3,33,0.0310696664298673
"A","trial","RL","SE","Post-Stim",3,34,-1.50103727946375
"A","trial","RL","SE","Post-Stim",3,35,-1.971820642981
"A","trial","RL","SE","Post-Stim",3,36,5.49762166854644
"A","trial","RL","SE","Post-Stim",3,37,-4.30074510853061
"A","trial","RL","SE","Post-Stim",3,38,-2.56161250540398
"A","trial","RL","SE","Post-Stim",3,39,-0.57557207834854
"A","trial","RL","SE","Post-Stim",3,40,-2.83274612930833
"A","trial","RL","SE","Post-Stim",3,41,0.121356910903514
"A","trial","RL","SE","Post-Stim",3,42,3.20393764724998
"A","trial","RL","SE","Post-Stim",3,43,-0.25312121622956
