"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Pre-Stim",3,45,NA,7.26590698808569
"A","trial","RL","5-HT","Pre-Stim",3,46,NA,0.209533846635725
"A","trial","RL","5-HT","Pre-Stim",3,47,NA,3.50967564160572
"A","trial","RL","5-HT","Pre-Stim",3,48,NA,0.195513478540632
"A","trial","RL","5-HT","Pre-Stim",3,49,NA,2.68976530249987
"A","trial","RL","5-HT","Pre-Stim",3,50,NA,4.33576858199564
"A","trial","RL","5-HT","Pre-Stim",3,51,NA,0.100718432854253
"A","trial","RL","5-HT","Pre-Stim",3,52,NA,3.76314602949937
"A","trial","RL","5-HT","Pre-Stim",3,53,NA,5.54715786148844
"A","trial","RL","5-HT","Pre-Stim",3,54,NA,8.55958530153569
"A","trial","RL","5-HT","Pre-Stim",3,55,NA,2.21666687673903
"A","trial","RL","5-HT","Pre-Stim",3,56,NA,2.5715008340275
"A","trial","RL","5-HT","Pre-Stim",3,57,NA,-3.33743829469042
"A","trial","RL","5-HT","Pre-Stim",3,58,NA,3.71332267995333
"A","trial","RL","5-HT","Pre-Stim",3,59,NA,2.08257269006341
"A","trial","RL","5-HT","Pre-Stim",3,60,NA,-0.297671909583759
"A","trial","RL","5-HT","Pre-Stim",3,61,NA,6.26440529183459
"A","trial","RL","5-HT","Pre-Stim",3,62,NA,3.159128858532
"A","trial","RL","5-HT","Pre-Stim",3,63,NA,0.61679617830252
"A","trial","RL","5-HT","Pre-Stim",3,64,NA,3.44646126660921
"A","trial","RL","5-HT","Pre-Stim",3,65,NA,2.00860499086878
"A","trial","RL","5-HT","Pre-Stim",3,66,NA,3.9230378684799
"A","trial","RL","5-HT","Pre-Stim",3,67,NA,4.4919503889302
"A","trial","RL","5-HT","Pre-Stim",3,68,NA,2.02197608935823
"A","trial","RL","5-HT","Pre-Stim",3,69,NA,-2.66267805073631
"A","trial","RL","5-HT","Pre-Stim",3,70,NA,0.785821429542244
"A","trial","RL","5-HT","Pre-Stim",3,71,NA,-1.01291530457803
"A","trial","RL","5-HT","Pre-Stim",3,72,NA,7.03928124758316
"A","trial","RL","5-HT","Pre-Stim",3,73,NA,10.0020988736693
"A","trial","RL","5-HT","Pre-Stim",3,74,NA,3.47316817864994
