"panel","level","task","nt","stim","idx","trial","condition","Oz"
"A","trial","RL","5-HT","Post-Stim",3,15,NA,-4.1485618993339
"A","trial","RL","5-HT","Post-Stim",3,16,NA,-1.29815615896112
"A","trial","RL","5-HT","Post-Stim",3,17,NA,-1.23126688574445
"A","trial","RL","5-HT","Post-Stim",3,18,NA,-5.67900897056765
"A","trial","RL","5-HT","Post-Stim",3,20,NA,-0.41131335105147
"A","trial","RL","5-HT","Post-Stim",3,21,NA,-8.86126539553666
"A","trial","RL","5-HT","Post-Stim",3,22,NA,2.31033828819293
"A","trial","RL","5-HT","Post-Stim",3,23,NA,-1.1949116279231
"A","trial","RL","5-HT","Post-Stim",3,24,NA,-4.70518506722521
"A","trial","RL","5-HT","Post-Stim",3,25,NA,-0.660725187829522
"A","trial","RL","5-HT","Post-Stim",3,26,NA,-4.57378873473391
"A","trial","RL","5-HT","Post-Stim",3,27,NA,-0.49284165784117
"A","trial","RL","5-HT","Post-Stim",3,28,NA,-4.25126400553801
"A","trial","RL","5-HT","Post-Stim",3,29,NA,-5.91502634897117
"A","trial","RL","5-HT","Post-Stim",3,30,NA,-0.382601816710466
"A","trial","RL","5-HT","Post-Stim",3,31,NA,-3.25586467039546
"A","trial","RL","5-HT","Post-Stim",3,32,NA,-4.6403266467412
"A","trial","RL","5-HT","Post-Stim",3,33,NA,0.0310696664298673
"A","trial","RL","5-HT","Post-Stim",3,34,NA,-1.50103727946375
"A","trial","RL","5-HT","Post-Stim",3,35,NA,-1.971820642981
"A","trial","RL","5-HT","Post-Stim",3,36,NA,5.49762166854644
"A","trial","RL","5-HT","Post-Stim",3,37,NA,-4.30074510853061
"A","trial","RL","5-HT","Post-Stim",3,38,NA,-2.56161250540398
"A","trial","RL","5-HT","Post-Stim",3,39,NA,-0.57557207834854
"A","trial","RL","5-HT","Post-Stim",3,40,NA,-2.83274612930833
"A","trial","RL","5-HT","Post-Stim",3,41,NA,0.121356910903514
"A","trial","RL","5-HT","Post-Stim",3,42,NA,3.20393764724998
"A","trial","RL","5-HT","Post-Stim",3,43,NA,-0.25312121622956
"A","trial","RL","5-HT","Post-Stim",3,44,NA,5.13193867677195
"A","trial","RL","5-HT","Post-Stim",3,45,NA,-4.18954759140603
